date,region,product,units_sold,unit_price
2024-11-14,East,Keyboard,15,322.26
2024-09-05,North,Keyboard,14,248.12
2023-08-05,South,Monitor,19,269.22
2023-01-08,West,Camera,28,148.8
2024-01-25,South,Headset,36,668.35
2023-12-29,North,Laptop,3,354.61
2024-04-15,North,Monitor,37,349.13
2024-02-19,West,Monitor,8,329.98
2023-11-29,South,Headset,30,667.3
2024-01-06,North,Laptop,7,202.22
2024-08-26,West,Headset,6,322.66
2024-01-19,South,,12,25.50
2023-11-14,East,Mouse,22,625.5
2023-03-20,North,Headset,33,163.18
2023-12-24,East,Camera,10,196.65
2023-05-30,East,Mouse,12,485.9
2024-11-02,North,Mouse,32,376.52
2024-07-31,West,Camera,37,517.96
2024-10-01,East,Camera,21,129.26
2023-03-11,West,Laptop,20,639.1
2024-08-28,North,Monitor,33,68.61
2024-04-17,West,Keyboard,4,301.3
2023-10-21,North,Camera,6,495.86
2024-06-03,West,Laptop,38,447.91
2023-02-12,West,Headset,13,264.01
2024-05-02,South,Keyboard,29,91.77
2023-12-18,North,Headset,12,40.92
2024-12-25,West,Laptop,34,422.97
2023-06-12,East,Monitor,19,316.06
2023-12-13,North,Camera,22,62.07
2023-04-07,West,Monitor,17,581.75
2024-11-03,South,Monitor,6,470.36
2023-05-25,East,Monitor,26,111.87
2024-12-26,North,Monitor,36,307.58
2023-12-03,South,Camera,34,83.83
2024-11-17,West,Headset,24,24.4
2024-01-19,East,Monitor,-3,120.00
2023-11-13,South,Mouse,22,758.66
2024-05-12,South,Mouse,9,132.41
2023-10-30,North,Headset,35,669.74
2024-06-23,North,Camera,22,702.35
2024-09-24,South,Headset,25,131.86
2023-07-05,South,Camera,29,44.52
2024-01-09,South,Laptop,40,235.09
2024-04-04,South,Headset,16,254.48
2024-04-25,South,Monitor,37,787.71
2024-04-17,East,Laptop,33,426.69
2023-06-15,South,Headset,9,699.67
2023-02-23,West,Monitor,36,748.09
2024-12-29,North,Monitor,6,612.86
2023-10-07,West,Headset,10,666.53
2023-04-04,South,Laptop,23,745.07
2024-02-29,North,Laptop,33,305.43
2024-01-31,North,Monitor,15,32.27
2023-04-12,East,Mouse,9,40.26
2024-04-28,South,Camera,31,364.4
2023-01-06,North,Keyboard,17,180.37
2023-06-03,West,Keyboard,19,197.74
2023-05-05,North,Mouse,27,514.77
2024-09-29,West,Keyboard,8,670.98
2024-05-26,North,Camera,33,464.29
2024-01-20,West,Keyboard,10,
2023-05-28,East,Laptop,1,495.7
2023-09-04,West,Mouse,6,423.55
2024-01-05,North,Headset,35,410.79
2024-06-03,North,Laptop,31,44.39
2024-02-01,East,Monitor,2,292.1
2023-03-11,East,Mouse,7,619.49
2023-12-07,South,Keyboard,23,441.35
2024-10-20,South,Camera,30,784.85
2024-05-05,South,Mouse,5,575.68
2024-04-13,North,Monitor,13,44.61
2023-07-24,North,Monitor,20,417.15
2024-07-10,West,Monitor,3,605.1
2023-07-15,East,Monitor,4,693.98
2023-12-06,East,Keyboard,24,355.19
2024-02-14,West,Laptop,22,779.24
2024-05-23,West,Monitor,34,220.71
2023-03-26,West,Keyboard,28,485.94
2023-07-04,East,Monitor,7,73.25
2024-11-07,East,Monitor,29,486.07
2024-03-12,South,Camera,29,287.72
2023-02-13,East,Headset,28,226.9
2023-02-28,North,Camera,26,297.02
2024-11-26,South,Keyboard,10,680.45
2024-11-25,West,Keyboard,9,63.11
hello,this,is,not,valid
2024-10-22,East,Monitor,25,760.08
2023-02-03,South,Camera,29,759.57
2024-01-16,West,Keyboard,37,118.78
2024-01-11,West,Monitor,18,207.19
2024-01-21,North,Keyboard,10
2023-04-27,North,Camera,12,404.24
2024-02-01,North,Monitor,17,566.19
2023-08-08,East,Camera,32,168.14
2023-05-19,North,Laptop,12,719.96
2024-03-31,North,Camera,21,537.59
2024-12-27,North,Headset,35,239.39
2023-11-04,South,Camera,12,637.02
2024-06-04,South,Keyboard,13,635.73
2023-08-31,West,Keyboard,24,447.68
2024-01-13,West,Headset,9,493.44
2023-03-30,North,Monitor,26,799.68
2024-05-05,West,Laptop,37,68.26
2023-11-21,North,Laptop,30,547.29
2023-12-19,South,Headset,38,153.75
2023-05-13,West,Headset,4,666.8
2024-06-14,South,Monitor,11,137.95
2024-12-27,South,Monitor,34,716.99
2023-03-22,East,Mouse,36,226.82
2024-10-02,East,Headset,35,83.81
2024-10-18,South,Headset,38,131.81
2024-11-05,East,Headset,3,661.94
2023-01-30,North,Keyboard,37,219.08
2023-08-04,West,Headset,2,403.45
2024-10-04,East,Camera,20,391.53
2024-12-02,West,Monitor,30,67.65
2023-03-03,South,Laptop,27,392.56
2023-07-28,East,Headset,10,256.94
2023-11-23,East,Laptop,9,610.93
2024-06-11,North,Monitor,16,378.51
2023-10-01,West,Mouse,10,86.48
2023-10-25,West,Headset,27,206.13
2023-06-13,East,Headset,21,159.97
2023-06-13,West,Headset,30,404.02
2023-11-12,West,Keyboard,6,756.73
2024-06-01,West,Mouse,14,470.84
2023-02-19,North,Monitor,32,482.04
2024-10-31,West,Monitor,35,16.46
2023-04-21,West,Mouse,17,584.73
2024-02-17,East,Keyboard,26,50.41
2024-07-29,South,Monitor,36,238.0
2024-01-31,West,Headset,18,662.0
2024-09-30,North,Mouse,7,321.18
2023-12-14,East,Mouse,13,485.95
2024-02-16,North,Keyboard,3,118.26
2023-12-08,West,Headset,30,127.66
2024-06-11,South,Monitor,40,261.64
2024-02-07,East,Headset,22,410.78
2024-06-05,West,Camera,37,246.83
2023-01-18,East,Monitor,8,784.12
2024-08-20,East,Camera,2,481.56
2023-09-29,South,Camera,4,470.98
2023-06-24,West,Mouse,16,34.94
2024-12-18,North,Mouse,2,358.42
2024-03-04,South,Laptop,14,334.2
2024-09-18,West,Camera,4,567.56
2024-06-15,South,Headset,21,798.52
2024-05-04,West,Monitor,12,373.13
2024-06-29,East,Headset,23,543.94
2024-11-28,East,Headset,31,161.89
2023-09-10,East,Headset,20,187.64
2023-11-01,East,Camera,14,555.29
2024-05-15,East,Laptop,23,452.79
2023-10-08,East,Keyboard,37,544.53
2024-01-24,West,Monitor,10,239.46
2023-10-22,North,Monitor,29,528.22
2024-05-05,South,Mouse,35,224.19
2024-07-29,East,Mouse,7,496.38
2024-08-23,South,Mouse,4,539.17
2024-06-27,South,Camera,15,51.47
2024-01-18,,Keyboard,10,25.50
2024-02-28,East,Camera,31,89.43
2023-05-21,North,Headset,11,331.46
2024-05-02,West,Camera,13,607.17
2023-10-22,East,Monitor,4,727.27
2023-04-02,South,Headset,3,731.45
2023-06-29,West,Mouse,3,797.77
2024-02-11,West,Mouse,19,702.63
2023-01-10,East,Headset,39,94.77
2023-12-10,East,Laptop,35,424.21
2023-05-18,West,Monitor,13,648.96
2023-12-05,South,Camera,30,522.15
2023-07-10,North,Camera,22,634.71
2024-08-04,South,Mouse,40,686.36
2024-02-20,West,Headset,21,78.52
2024-11-16,North,Mouse,9,387.19
2023-09-12,North,Monitor,25,196.06
2023-10-01,East,Monitor,38,581.08
2023-01-12,East,Camera,24,557.29
2023-03-05,North,Laptop,20,136.18
2024-12-03,East,Camera,8,514.58
2023-10-30,East,Headset,15,183.11
2023-05-17,West,Mouse,30,600.71
2024-09-12,East,Laptop,36,731.11
2024-07-04,South,Mouse,39,699.78
2024-01-18,North,Mouse,abc,15.00
2023-03-25,West,Headset,24,71.7
2024-07-31,North,Keyboard,36,723.28
2023-07-27,South,Mouse,21,685.04
2024-03-28,North,Camera,14,576.37
2024-05-15,North,Headset,29,648.87
2024-04-09,South,Headset,27,370.87
2023-03-01,West,Camera,20,581.39
2024-02-10,East,Keyboard,14,466.87
2023-02-16,West,Monitor,5,437.52
2023-03-03,North,Laptop,3,236.8
2023-07-04,South,Camera,27,305.82
2024-01-27,West,Laptop,25,73.4
2024-11-08,South,Camera,23,103.72
2024-07-04,West,Headset,9,585.01
2023-08-17,North,Keyboard,20,375.77
2024-07-11,West,Headset,25,660.45
2023-09-11,West,Monitor,10,227.76
2023-04-26,North,Camera,27,495.79
2023-01-17,South,Mouse,5,89.71
2023-02-04,West,Headset,4,203.34
2023-02-15,West,Laptop,15,436.41
2023-02-27,South,Headset,19,194.99
2024-08-12,East,Headset,39,620.31
2023-11-25,South,Monitor,10,788.7
2024-01-19,South,,12,25.50
2024-06-17,South,Laptop,20,227.37
2024-07-24,South,Camera,28,449.12
2023-02-18,East,Camera,25,630.79
2023-11-23,West,Laptop,10,246.91
2023-07-08,West,Mouse,15,247.58
2024-12-25,South,Laptop,4,454.28
2024-03-02,South,Laptop,16,211.45
2023-12-05,North,Laptop,24,83.05
2023-07-15,North,Monitor,25,542.2
2024-09-09,North,Keyboard,13,645.67
2024-08-24,South,Laptop,14,696.88
2023-12-07,East,Keyboard,14,750.36
2023-05-01,West,Mouse,39,565.98
2024-02-11,South,Headset,21,622.66
2024-01-25,West,Headset,23,253.65
2024-01-04,West,Laptop,7,644.23
2024-04-25,East,Mouse,24,257.21
2023-02-16,South,Camera,10,22.81
2024-07-20,West,Monitor,10,164.99
2023-08-24,West,Headset,16,404.45
2024-11-01,East,Monitor,32,773.54
2024-10-19,West,Laptop,11,588.89
2023-12-27,South,Mouse,35,395.77
2024-07-09,North,Headset,3,672.86
2024-01-19,East,Monitor,-3,120.00
2023-03-18,North,Keyboard,27,118.62
2024-10-07,South,Keyboard,10,17.22
2024-06-01,West,Monitor,4,498.09
2024-11-13,West,Camera,32,22.43
2024-06-28,West,Keyboard,2,428.24
2023-10-09,East,Keyboard,33,652.39
2024-11-21,West,Mouse,7,735.26
2024-06-20,South,Mouse,13,499.63
2023-09-16,East,Monitor,26,72.43
2024-02-20,West,Headset,16,792.28
2023-08-20,East,Camera,6,526.45
2024-10-27,North,Keyboard,26,309.62
2024-07-19,West,Keyboard,1,565.25
2023-03-26,West,Laptop,22,457.03
2023-04-08,North,Mouse,14,722.01
2024-12-09,West,Monitor,3,740.09
2024-12-01,East,Headset,37,529.91
2023-07-03,East,Keyboard,14,473.76
2024-12-30,West,Keyboard,20,138.34
2023-09-04,West,Camera,35,272.07
2023-05-24,North,Headset,23,52.42
2024-03-23,South,Keyboard,22,488.08
2024-09-20,West,Monitor,2,510.96
2024-04-06,West,Mouse,23,446.9
2024-01-20,West,Keyboard,10,
2024-01-20,West,Mouse,38,531.93
2023-03-29,East,Mouse,5,74.81
2023-06-07,West,Camera,10,594.33
2023-11-21,East,Keyboard,6,14.1
2023-11-12,West,Monitor,18,90.76
2023-03-31,South,Laptop,29,450.02
2024-06-08,West,Keyboard,2,80.8
2024-07-21,North,Headset,39,629.71
2024-01-30,North,Monitor,27,316.36
2023-03-28,South,Headset,34,143.97
2024-01-25,South,Mouse,18,247.89
2024-05-19,South,Keyboard,11,353.39
2024-03-07,East,Laptop,5,295.29
2023-09-10,West,Headset,40,164.48
2023-04-20,South,Monitor,1,759.57
2023-12-07,West,Monitor,29,274.44
2024-10-28,South,Monitor,21,486.54
2024-12-12,South,Laptop,21,150.33
2024-02-12,East,Monitor,32,774.53
2023-09-06,East,Laptop,18,655.03
2024-02-07,East,Keyboard,37,167.84
2024-07-12,South,Camera,36,31.26
2024-04-17,South,Laptop,19,666.71
2023-03-12,West,Camera,32,119.95
hello,this,is,not,valid
2023-11-07,South,Monitor,10,575.04
2024-01-22,North,Laptop,39,388.6
2024-02-15,West,Headset,3,634.67
2024-01-04,North,Keyboard,16,529.51
2024-01-21,North,Keyboard,10
2023-12-30,South,Camera,40,44.99
2024-10-22,West,Monitor,28,93.7
2023-04-11,East,Mouse,33,600.01
2024-07-25,South,Laptop,24,319.0
2024-11-26,South,Monitor,2,391.39
2023-10-30,West,Keyboard,8,666.74
2023-05-26,East,Monitor,22,369.71
2023-07-31,West,Monitor,31,87.12
2024-12-14,West,Monitor,5,247.21
2024-12-28,North,Keyboard,22,521.9
2024-11-24,South,Camera,16,417.64
2024-07-19,South,Monitor,36,346.83
2024-04-18,South,Laptop,12,157.25
2024-11-04,West,Laptop,2,592.54
2023-07-22,West,Headset,28,317.18
2024-12-22,South,Mouse,18,604.34
2023-03-06,North,Headset,12,298.98
2023-07-21,West,Keyboard,17,539.85
2024-05-16,East,Headset,25,492.93
2024-08-24,North,Monitor,23,677.96
2024-09-24,South,Camera,20,735.76
2024-08-27,North,Camera,9,257.42
2023-09-02,East,Keyboard,12,304.91
2023-05-25,West,Laptop,39,118.92
2024-01-28,West,Mouse,32,512.05
2024-12-11,South,Headset,11,396.82
2023-05-24,South,Monitor,29,499.33
2024-01-03,North,Laptop,9,164.15
2024-01-29,West,Laptop,32,338.35
2024-03-30,West,Mouse,6,456.66
2023-08-14,East,Keyboard,18,187.63
2023-10-23,South,Laptop,37,596.59
2024-05-22,North,Headset,8,221.63
2024-07-10,East,Headset,3,610.4
2024-03-27,South,Laptop,7,591.43
2024-10-31,South,Monitor,3,365.29
2023-12-23,North,Laptop,8,622.75
2023-08-31,South,Camera,38,554.42
2024-12-28,West,Mouse,40,120.0
2023-07-31,South,Keyboard,37,287.14
2023-10-15,South,Monitor,19,238.57
2023-10-01,North,Mouse,27,735.83
2023-10-11,South,Camera,9,207.25
2024-12-29,East,Mouse,26,396.67
2024-08-14,East,Camera,27,306.39
2023-03-19,North,Laptop,33,602.34
2024-12-12,East,Laptop,32,268.56
2023-01-03,North,Camera,30,511.52
2024-12-15,East,Keyboard,35,324.2
2024-03-15,South,Laptop,18,265.06
2023-10-18,East,Headset,37,113.17
2024-05-11,East,Camera,4,46.29
2024-10-03,West,Keyboard,8,744.25
2023-06-11,West,Laptop,1,793.55
2024-03-14,South,Camera,9,706.9
2023-11-06,South,Monitor,6,527.12
2023-09-14,North,Monitor,11,50.91
2024-10-02,East,Camera,15,349.09
2023-04-04,North,Keyboard,14,386.68
2023-05-16,South,Headset,29,17.34
2024-12-13,East,Keyboard,28,558.28
2024-05-04,North,Mouse,25,80.57
2023-04-15,North,Monitor,24,705.98
2023-05-21,West,Mouse,10,64.05
2024-07-30,North,Headset,11,357.68
2023-08-07,South,Laptop,40,552.39
2023-08-11,North,Keyboard,9,604.43
2024-08-26,West,Monitor,28,258.46
2023-05-24,South,Monitor,6,206.05
2024-01-18,,Keyboard,10,25.50
2024-09-07,East,Camera,2,679.83
2024-11-05,East,Mouse,34,489.47
2023-07-13,West,Monitor,4,629.2
2023-09-03,West,Laptop,8,200.45
2024-10-15,North,Headset,1,789.64
2023-11-21,South,Laptop,37,342.48
2024-07-13,South,Laptop,5,23.18
2023-03-11,North,Monitor,14,41.46
2023-03-03,West,Headset,19,506.57
2024-05-28,West,Laptop,26,75.12
2024-07-03,South,Monitor,6,254.83
2024-06-07,South,Mouse,35,268.13
2024-08-23,North,Monitor,28,586.67
2023-09-02,North,Mouse,6,740.46
2023-04-29,West,Headset,39,53.47
2024-11-13,South,Keyboard,1,569.24
2024-12-19,North,Mouse,32,762.88
2024-06-19,East,Mouse,24,110.28
2023-10-03,North,Keyboard,22,647.62
2023-10-06,North,Monitor,37,505.75
2024-05-23,West,Headset,24,53.8
2024-08-03,South,Monitor,11,211.54
2023-04-16,North,Mouse,33,12.03
2023-01-13,South,Keyboard,31,297.54
2024-01-18,North,Mouse,abc,15.00
2023-06-03,South,Keyboard,36,644.46
2024-11-02,West,Mouse,21,206.13
2023-11-24,East,Keyboard,37,304.52
2024-05-29,North,Mouse,15,645.43
2023-02-17,West,Keyboard,30,694.17
2023-11-15,East,Keyboard,36,370.83
2024-01-13,South,Monitor,37,629.76
2024-09-29,South,Laptop,24,477.44
2024-05-20,South,Camera,35,610.78
2023-09-09,South,Keyboard,27,28.89
2024-07-08,East,Camera,1,761.28
2023-01-02,West,Camera,20,92.12
2024-06-26,South,Laptop,32,769.34
2023-05-26,East,Keyboard,3,737.81
2024-06-16,West,Camera,24,372.18
2023-03-28,North,Headset,9,513.4
2024-02-08,North,Headset,37,59.2
2024-11-09,South,Mouse,19,216.18
2023-11-19,West,Camera,21,261.27
2023-10-06,South,Keyboard,13,117.53
2024-08-21,North,Mouse,7,139.86
2024-04-22,East,Laptop,8,433.38
2023-08-01,West,Monitor,30,219.36
2023-05-03,North,Mouse,20,662.85
2024-01-19,South,,12,25.50
2024-12-14,North,Mouse,21,127.18
2024-12-29,South,Monitor,26,415.63
2024-11-24,East,Monitor,12,34.55
2024-02-19,West,Headset,36,207.38
2024-04-18,North,Mouse,8,19.45
2023-08-16,South,Mouse,26,304.07
